AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Hambone,2/12/14 18:22,Return_to_owner,NA,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Emily,10/13/13 12:44,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,1/31/15 12:28,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,NA,7/11/14 19:09,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,NA,11/15/13 12:52,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,4/25/14 13:04,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,3/28/15 13:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,NA,4/30/15 17:02,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,2/4/14 17:17,Adoption,NA,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,NA,5/3/14 7:48,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,NA,12/5/13 15:50,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,NA,11/4/13 14:48,Adoption,NA,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Rocket,2/3/16 11:27,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,Scooter,6/8/15 16:30,Return_to_owner,NA,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Preston,11/25/15 15:00,Return_to_owner,NA,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Oliver,7/12/14 12:10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,NA,5/3/14 16:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
