	AnimalID	Name	DateTime	OutcomeType	AnimalType	SexuponOutcome	AgeuponOutcome	Breed	Color	HasName	TimeofDay	WeekDay	Sex	IsIntact	AgeInYears	Age	IsMixBreed	MixorMultipleorSimple	SimpleBreed	Group	Size	IsMixColor	SimpleColor
0	A671945	Hambone	2014-02-12 18:22:00	Return_to_owner	Dog	Neutered Male	1 year	Shetland Sheepdog Mix	Brown/White	1	lateday	2	Male	0.0	1.0	0	1	Mix	Shetland Sheepdog	Herding	1	1	Brown
1	A686464	Pearce	2015-01-31 12:28:00	Adoption	Dog	Neutered Male	2 years	Pit Bull Mix	Blue/White	1	midday	5	Male	0.0	2.0	1	1	Mix	Pit Bull	PitBull	1	1	Blue
2	A667013	Nameless	2013-11-15 12:52:00	Transfer	Dog	Neutered Male	2 years	Lhasa Apso/Miniature Poodle	Tan	0	midday	4	Male	0.0	2.0	1	0	Multiple	Lhasa Apso	NonSporting	0	0	Tan
3	A677334	Elsa	2014-04-25 13:04:00	Transfer	Dog	Intact Female	1 month	Cairn Terrier/Chihuahua Shorthair	Black/Tan	1	midday	4	Female	1.0	0.08333333333333333	0	0	Multiple	Cairn Terrier	Terrier	0	1	Black
4	A671784	Lucy	2014-02-04 17:17:00	Adoption	Dog	Spayed Female	5 months	American Pit Bull Terrier Mix	Red/White	1	lateday	1	Female	0.0	0.4166666666666667	0	1	Mix	American Pit Bull Terrier	PitBull	1	1	Red
5	A677747	Nameless	2014-05-03 07:48:00	Adoption	Dog	Spayed Female	1 year	Cairn Terrier	White	0	morning	5	Female	0.0	1.0	0	0	Simple	Cairn Terrier	Terrier	0	0	White
6	A666320	Nameless	2013-11-04 14:48:00	Adoption	Dog	Spayed Female	2 years	Miniature Schnauzer Mix	Silver	0	midday	0	Female	0.0	2.0	1	1	Mix	Miniature Schnauzer	Terrier	0	0	Silver
7	A684601	Rocket	2016-02-03 11:27:00	Adoption	Dog	Neutered Male	4 years	Pit Bull Mix	Brown	1	midday	2	Male	0.0	4.0	1	1	Mix	Pit Bull	PitBull	1	0	Brown
8	A704702	Scooter	2015-06-08 16:30:00	Return_to_owner	Dog	Neutered Male	2 years	Yorkshire Terrier Mix	Black/Red	1	lateday	0	Male	0.0	2.0	1	1	Mix	Yorkshire Terrier	Toy	0	1	Black
9	A688584	Preston	2015-11-25 15:00:00	Return_to_owner	Dog	Neutered Male	1 year	Great Pyrenees Mix	White/Cream	1	midday	2	Male	0.0	1.0	0	1	Mix	Great Pyrenees	Working	3	1	White
10	A680028	Nameless	2014-06-07 12:54:00	Transfer	Dog	Intact Female	2 weeks	Pit Bull Mix	Brown/White	0	midday	5	Female	1.0	0.038461538461538464	0	1	Mix	Pit Bull	PitBull	1	1	Brown
11	A684787	Kuma	2014-07-30 17:34:00	Return_to_owner	Dog	Neutered Male	1 year	Flat Coat Retriever Mix	Black	1	lateday	2	Male	0.0	1.0	0	1	Mix	Flat Coat Retriever	Sporting	1	0	Black
12	A670658	Anders	2014-01-19 15:03:00	Transfer	Dog	Intact Male	2 months	Queensland Heeler Mix	Black/White	1	midday	6	Male	1.0	0.16666666666666666	0	1	Mix	Queensland Heeler	Herding	1	1	Black
13	A705262	Jamaica	2015-08-15 14:22:00	Adoption	Dog	Spayed Female	2 years	Plott Hound/Boxer	Brown Brindle/White	1	midday	5	Female	0.0	2.0	1	0	Multiple	Plott Hound	Hound	2	1	Brown Brindle
14	A665781	Quattro	2013-10-28 16:32:00	Adoption	Dog	Neutered Male	10 months	German Shepherd Mix	Brown/White	1	lateday	0	Male	0.0	0.8333333333333334	0	1	Mix	German Shepherd	Herding	2	1	Brown
15	A676333	Trigger	2014-04-09 17:44:00	Return_to_owner	Dog	Neutered Male	2 months	German Shepherd Mix	Black/Brown	1	lateday	2	Male	0.0	0.16666666666666666	0	1	Mix	German Shepherd	Herding	2	1	Black
16	A718832	Nia	2016-01-15 17:31:00	Adoption	Dog	Spayed Female	6 months	American Staffordshire Terrier Mix	Chocolate/White	1	lateday	4	Female	0.0	0.5	0	1	Mix	American Staffordshire Terrier	Terrier	1	1	Chocolate
17	A698777	Chloe	2015-03-25 18:50:00	Adoption	Dog	Spayed Female	5 years	Chihuahua Shorthair Mix	White/Tan	1	lateday	2	Female	0.0	5.0	1	1	Mix	Chihuahua Shorthair	Toy	0	1	White
18	A707341	Murphy	2015-07-15 15:25:00	Transfer	Dog	Intact Male	4 months	Labrador Retriever Mix	Black/White	1	midday	2	Male	1.0	0.3333333333333333	0	1	Mix	Labrador Retriever	Sporting	1	1	Black
19	A666825	Jesse	2013-11-08 13:24:00	Return_to_owner	Dog	Neutered Male	5 years	Collie Smooth/German Shepherd	Brown/Black	1	midday	4	Male	0.0	5.0	1	0	Multiple	Collie Smooth	Herding	2	1	Brown
20	A699723	Delgado	2015-04-11 16:01:00	Transfer	Dog	Neutered Male	3 years	Chihuahua Shorthair Mix	Brown	1	lateday	5	Male	0.0	3.0	1	1	Mix	Chihuahua Shorthair	Toy	0	0	Brown
21	A668626	Nameless	2013-12-06 14:55:00	Euthanasia	Dog	Intact Male	3 years	Labrador Retriever Mix	Yellow	0	midday	4	Male	1.0	3.0	1	1	Mix	Labrador Retriever	Sporting	1	0	Yellow
22	A657085	Pony Boy	2013-10-24 11:22:00	Return_to_owner	Dog	Neutered Male	3 years	Pit Bull Mix	Brown/White	1	midday	3	Male	0.0	3.0	1	1	Mix	Pit Bull	PitBull	1	1	Brown
