"","OutcomeType","HasName","TimeofDay","WeekDay","Sex","IsIntact","AgeinYears","Age","IsMixBreed","MixorMultipleorSimple","Group","Size","IsMixColor"
"1","Return_to_owner",1,"lateday","Wednesday","Female",0,4,1,1,"Mix","Toy",0,0
"2","Adoption",1,"lateday","Monday","Female",0,3,1,1,"Mix","Toy",0,1
"3","Adoption",1,"night","Saturday","Male",0,1,0,1,"Mix","Toy",0,1
"4","Return_to_owner",1,"lateday","Monday","Male",1,2,1,1,"Mix","Toy",0,1
"5","Adoption",1,"lateday","Thursday","Female",0,1,0,1,"Mix","Toy",0,1
"6","Adoption",1,"lateday","Saturday","Male",0,2,1,1,"Mix","Toy",0,1
"7","Return_to_owner",1,"midday","Thursday","Female",0,2,1,1,"Mix","Hound",2,1
"8","Return_to_owner",1,"midday","Monday","Female",0,6,1,1,"Mix","Terrier",1,0
"9","Transfer",1,"midday","Wednesday","Male",0,4,1,0,"Multiple","Terrier",1,0
"10","Transfer",1,"night","Sunday","Female",0,7,2,1,"Mix","Terrier",1,0
"11","Return_to_owner",1,"midday","Thursday","Female",0,0,0,1,"Mix","Terrier",1,1
"12","Transfer",1,"lateday","Sunday","Male",1,6,1,0,"Simple","Terrier",1,1
"13","Adoption",1,"midday","Thursday","Male",0,1,0,1,"Mix","Terrier",1,1
"14","Transfer",1,"lateday","Sunday","Female",0,1,0,1,"Mix","Terrier",1,1
"15","Adoption",0,"lateday","Thursday","Male",0,0,0,0,"Multiple","Terrier",1,0
"16","Transfer",1,"midday","Friday","Male",0,4,1,0,"Multiple","Working",2,1
"17","Adoption",0,"lateday","Wednesday","Female",0,0,0,1,"Mix","Working",2,1
"18","Adoption",1,"lateday","Sunday","Female",0,6,1,0,"Simple","Working",2,0
"19","Adoption",1,"midday","Wednesday","Male",0,5,1,0,"Multiple","Working",2,0
"20","Adoption",1,"lateday","Saturday","Male",0,4,1,1,"Mix","Working",2,1
"21","Return_to_owner",1,"midday","Wednesday","Female",0,7,2,1,"Mix","Working",2,1
"22","Adoption",1,"midday","Monday","Male",0,3,1,0,"Multiple","Working",2,0
"23","Return_to_owner",1,"lateday","Tuesday","Male",0,10,2,0,"Multiple","Working",2,1
"24","Transfer",1,"midday","Sunday","Male",0,1,0,1,"Mix","Working",2,1
"25","Return_to_owner",1,"midday","Sunday","Male",0,4,1,1,"Mix","Working",2,1
"26","Adoption",1,"midday","Sunday","Female",0,0,0,0,"Multiple","Working",2,1
"27","Adoption",1,"lateday","Sunday","Male",0,3,1,1,"Mix","Working",2,1
"28","Transfer",1,"midday","Monday","Female",0,10,2,1,"Mix","Working",2,1
"29","Euthanasia",1,"lateday","Monday","Male",1,6,1,0,"Simple","Working",2,1
"30","Euthanasia",1,"lateday","Wednesday","Male",0,2,1,0,"Multiple","Working",2,1
"31","Return_to_owner",1,"midday","Monday","Male",0,3,1,1,"Mix","Working",2,1
"32","Adoption",1,"midday","Sunday","Male",0,1,0,0,"Simple","Working",2,1
"33","Adoption",1,"midday","Tuesday","Male",0,0,0,0,"Multiple","Working",2,1
"34","Return_to_owner",1,"lateday","Friday","Female",0,8,2,1,"Mix","Working",2,1
"35","Return_to_owner",1,"lateday","Tuesday","Male",0,4,1,1,"Mix","Working",2,1
"36","Adoption",1,"lateday","Friday","Male",0,2,1,1,"Mix","Working",2,0
"37","Transfer",1,"lateday","Wednesday","Male",0,1,0,0,"Multiple","Unknown",1,1
"38","Adoption",1,"midday","Sunday","Male",0,5,1,0,"Simple","Unknown",1,1
"39","Return_to_owner",1,"midday","Wednesday","Female",1,2,1,0,"Simple","Unknown",1,1
"40","Return_to_owner",1,"lateday","Saturday","Female",1,1,0,1,"Mix","Unknown",1,1
"41","Adoption",1,"midday","Saturday","Male",0,6,1,1,"Mix","Unknown",1,1
"42","Adoption",1,"lateday","Sunday","Female",0,2,1,1,"Mix","Unknown",1,1
"43","Return_to_owner",1,"lateday","Tuesday","Male",0,13,2,1,"Mix","Unknown",1,1
"44","Adoption",1,"lateday","Monday","Male",0,1,0,1,"Mix","Unknown",1,0
"45","Return_to_owner",1,"lateday","Friday","Female",0,2,1,1,"Mix","Unknown",1,1
"46","Adoption",1,"lateday","Sunday","Male",0,9,2,0,"Multiple","Unknown",1,1
"47","Return_to_owner",1,"lateday","Saturday","Male",1,5,1,0,"Multiple","Unknown",1,1
"48","Adoption",0,"lateday","Thursday","Female",0,1,0,1,"Mix","Unknown",1,1
"49","Transfer",1,"midday","Saturday","Male",0,1,0,0,"Multiple","Unknown",1,1
"50","Return_to_owner",1,"midday","Sunday","Male",0,3,1,1,"Mix","Unknown",1,1
"51","Adoption",1,"midday","Wednesday","Female",0,2,1,1,"Mix","Unknown",1,0
"52","Return_to_owner",1,"lateday","Wednesday","Female",0,1,0,1,"Mix","Unknown",1,0
"53","Return_to_owner",1,"lateday","Sunday","Male",1,2,1,0,"Simple","Working",2,1
"54","Return_to_owner",1,"night","Friday","Female",0,2,1,1,"Mix","Working",2,0
"55","Return_to_owner",1,"midday","Thursday","Male",0,3,1,1,"Mix","Working",2,0
"56","Return_to_owner",1,"midday","Monday","Male",0,11,2,1,"Mix","Working",2,1
"57","Return_to_owner",1,"midday","Friday","Female",0,1,0,0,"Multiple","Working",2,1
