SimpleBreed,Group,IsIntelligent,Size_alpha,IsAggressive,Size,,,,,,,
Affenpinscher,Toy,0,S,0,0,,,,,,,
Afghan Hound,Hound,0,L,0,2,,,,,,,
Airedale Terrier,Terrier,0,M,0,1,,,,,,,
Akita,Working,1,L,1,2,,,,0,1,2,3
Alaskan Husky,NA,1,M,0,1,,,,,,,
Alaskan Malamute,Working,1,L,1,2,,,,,,,
American Bulldog,NonSporting,0,M,1,1,,,,,,,
American Eskimo,NonSporting,0,M,0,1,,,,,,,
American Foxhound,Hound,0,L,0,2,,,,,,,
American Pit Bull Terrier,PitBull,0,M,1,1,,,,,,,
American Staffordshire Terrier,Terrier,0,M,0,1,,,,,,,
Anatol Shepherd,Working,0,L,0,2,,,,,,,
Australian Cattle Dog,Herding,1,M,0,1,,,,,,,
Australian Kelpie,Working,0,M,0,1,,,,,,,
Australian Shepherd,Herding,1,M,0,1,,,,,,,
Australian Terrier,Terrier,0,S,0,0,,,,,,,
Basenji,Hound,0,M,0,1,,,,,,,
Basset Hound,Hound,0,M,0,1,,,,,,,
Beagle,Hound,0,S,0,0,,,,,,,
Bearded Collie,Herding,1,M,0,1,,,,,,,
Beauceron,Herding,0,L,0,2,,,,,,,
Bedlington Terr,Terrier,0,M,0,1,,,,,,,
Belgian Malinois,Herding,0,L,0,2,,,,,,,
Belgian Sheepdog,Herding,0,M,0,1,,,,,,,
Belgian Tervuren,Herding,0,M,0,1,,,,,,,
Bernese Mountain Dog,Working,1,L,0,2,,,,,,,
Bichon Frise,NonSporting,1,S,0,0,,,,,,,
Black,NA,0,NA,0,NA,,,,,,,
Black Mouth Cur,Herding,0,M,0,1,,,,,,,
Bloodhound,Hound,0,L,0,2,,,,,,,
Blue Lacy,Working,0,M,0,1,,,,,,,
Bluetick Hound,Hound,0,M,0,1,,,,,,,
Border Collie,Herding,1,M,0,1,,,,,,,
Border Terrier,Terrier,0,S,0,0,,,,,,,
Boston Terrier,NonSporting,0,S,0,0,,,,,,,
Boxer,Working,0,M,1,1,,,,,,,
Boykin Span,Sporting,0,M,0,1,,,,,,,
Brittany,Sporting,1,M,0,1,,,,,,,
Bruss Griffon,Toy,0,S,0,0,,,,,,,
Bull Terrier,Terrier,0,M,1,1,,,,,,,
Bull Terrier Miniature,Terrier,0,S,0,0,,,,,,,
Bulldog,NonSporting,0,M,0,1,,,,,,,
Bullmastiff,Working,0,L,0,2,,,,,,,
Cairn Terrier,Terrier,0,S,0,0,,,,,,,
Canaan Dog,Herding,0,M,0,1,,,,,,,
Cane Corso,Working,0,L,1,2,,,,,,,
Cardigan Welsh Corgi,Herding,0,M,0,1,,,,,,,
Carolina Dog,NA,0,M,0,1,,,,,,,
Catahoula,Herding,0,M,0,1,,,,,,,
Cavalier Span,Toy,0,S,0,0,,,,,,,
Chesa Bay Retr,Sporting,0,L,0,2,,,,,,,
Chihuahua Longhair,Toy,0,S,0,0,,,,,,,
Chihuahua Shorthair,Toy,0,S,0,0,,,,,,,
Chinese Crested,Toy,0,S,0,0,,,,,,,
Chinese Sharpei,NonSporting,0,M,0,1,,,,,,,
Chow Chow,NonSporting,0,M,1,1,,,,,,,
Cocker Spaniel,Sporting,0,M,0,1,,,,,,,
Collie Rough,Herding,1,L,0,2,,,,,,,
Collie Smooth,Herding,1,L,0,2,,,,,,,
Dachshund,Hound,0,S,0,0,,,,,,,
Dachshund Longhair,Hound,0,S,0,0,,,,,,,
Dachshund Wirehair,Hound,0,S,0,0,,,,,,,
Dalmatian,NonSporting,0,L,1,2,,,,,,,
Doberman Pinsch,Working,1,M,1,1,,,,,,,
Dogo Argentino,NA,0,L,1,2,,,,,,,
Dogue De Bordeaux,Working,0,L,1,2,,,,,,,
Dutch Shepherd,Herding,0,L,0,2,,,,,,,
English Bulldog,NonSporting,0,M,0,1,,,,,,,
English Cocker Spaniel,Sporting,0,M,0,1,,,,,,,
English Coonhound,Hound,0,L,0,2,,,,,,,
English Foxhound,Hound,0,L,0,2,,,,,,,
English Pointer,Sporting,0,L,0,2,,,,,,,
English Setter,Sporting,1,L,0,2,,,,,,,
